Timestamp,Event,Details,Capital
2025-05-02T13:08:55.371Z,FVG,"Bullish scartato, size=3.80 < threshold=11.03 ",10000.00
2025-05-02T13:08:55.371Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.371Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.371Z,Signal,"CVD check, prevVolume=25.32, currVolume=13.60",10000.00
2025-05-02T13:08:55.372Z,Signal,"Nessun CVD, prevVolume=25.32, currVolume=13.60",10000.00
2025-05-02T13:08:55.372Z,FVG,"Check: ATR=51.42, fvgSensitivity=0.20, Threshold=10.28",10000.00
2025-05-02T13:08:55.372Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.372Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.372Z,Signal,"CVD check, prevVolume=13.60, currVolume=-5.51",10000.00
2025-05-02T13:08:55.372Z,Signal,"Bearish CVD su TF 3m, lastVolume=-5.51",10000.00
2025-05-02T13:08:55.372Z,FVG,"Check: ATR=50.85, fvgSensitivity=0.20, Threshold=10.17",10000.00
2025-05-02T13:08:55.373Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.373Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.373Z,Signal,"CVD check, prevVolume=-5.51, currVolume=4.26",10000.00
2025-05-02T13:08:55.373Z,Signal,"Bullish CVD su TF 3m, lastVolume=4.26",10000.00
2025-05-02T13:08:55.373Z,FVG,"Check: ATR=51.23, fvgSensitivity=0.20, Threshold=10.25",10000.00
2025-05-02T13:08:55.373Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.374Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.374Z,Signal,"CVD check, prevVolume=4.26, currVolume=18.91",10000.00
2025-05-02T13:08:55.374Z,Signal,"Nessun CVD, prevVolume=4.26, currVolume=18.91",10000.00
2025-05-02T13:08:55.374Z,FVG,"Check: ATR=49.43, fvgSensitivity=0.20, Threshold=9.89",10000.00
2025-05-02T13:08:55.374Z,FVG,"Bearish confermato, top=96536.30, bottom=96524.00, size=12.30",10000.00
2025-05-02T13:08:55.375Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.375Z,Signal,"CVD check, prevVolume=18.91, currVolume=-9.04",10000.00
2025-05-02T13:08:55.375Z,Signal,"Bearish CVD su TF 3m, lastVolume=-9.04",10000.00
2025-05-02T13:08:55.375Z,FVG,"Check: ATR=49.57, fvgSensitivity=0.20, Threshold=9.91",10000.00
2025-05-02T13:08:55.375Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.376Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.376Z,Signal,"CVD check, prevVolume=-9.04, currVolume=-2.68",10000.00
2025-05-02T13:08:55.376Z,Signal,"Nessun CVD, prevVolume=-9.04, currVolume=-2.68",10000.00
