Timestamp,Event,Details,Capital
2025-04-30T18:12:51.599Z,Signal,"CVD check, prevVolume=249.81, currVolume=-32.52",10000.00
2025-04-30T18:12:51.599Z,Signal,"Bearish CVD su TF 3m, lastVolume=-32.52",10000.00
2025-04-30T18:12:51.599Z,FVG,"Check: ATR=71.39, fvgSensitivity=0.20, Threshold=14.28",10000.00
2025-04-30T18:12:51.599Z,FVG,"Bearish confermato, top=84917.70, bottom=84888.80, size=28.90",10000.00
2025-04-30T18:12:51.599Z,FVG,"Bearish confermato, top=84917.70, bottom=84888.80, size=28.90",10000.00
2025-04-30T18:12:51.599Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-30T18:12:51.600Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.600Z,Signal,"CVD check, prevVolume=-32.52, currVolume=-15.21",10000.00
2025-04-30T18:12:51.600Z,Signal,"Nessun CVD, prevVolume=-32.52, currVolume=-15.21",10000.00
2025-04-30T18:12:51.600Z,FVG,"Check: ATR=72.86, fvgSensitivity=0.20, Threshold=14.57",10000.00
2025-04-30T18:12:51.600Z,FVG,"Bearish scartato, size=0.20 < threshold=14.57 ",10000.00
2025-04-30T18:12:51.600Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.601Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.601Z,Signal,"CVD check, prevVolume=-15.21, currVolume=-8.75",10000.00
2025-04-30T18:12:51.601Z,Signal,"Nessun CVD, prevVolume=-15.21, currVolume=-8.75",10000.00
2025-04-30T18:12:51.601Z,FVG,"Check: ATR=75.81, fvgSensitivity=0.20, Threshold=15.16",10000.00
2025-04-30T18:12:51.601Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-30T18:12:51.602Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.602Z,Signal,"CVD check, prevVolume=-8.75, currVolume=-15.31",10000.00
2025-04-30T18:12:51.602Z,Signal,"Nessun CVD, prevVolume=-8.75, currVolume=-15.31",10000.00
2025-04-30T18:12:51.602Z,FVG,"Check: ATR=81.87, fvgSensitivity=0.20, Threshold=16.37",10000.00
2025-04-30T18:12:51.602Z,FVG,"Bullish confermato, top=84892.40, bottom=84872.10, size=20.30",10000.00
2025-04-30T18:12:51.603Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.603Z,Signal,"CVD check, prevVolume=-15.31, currVolume=61.06",10000.00
2025-04-30T18:12:51.603Z,Signal,"Bullish CVD su TF 3m, lastVolume=61.06",10000.00
2025-04-30T18:12:51.603Z,FVG,"Check: ATR=79.18, fvgSensitivity=0.20, Threshold=15.84",10000.00
2025-04-30T18:12:51.603Z,FVG,"Bullish confermato, top=84979.90, bottom=84897.00, size=82.90",10000.00
2025-04-30T18:12:51.604Z,FVG,"Bullish confermato, top=84979.90, bottom=84897.00, size=82.90",10000.00
2025-04-30T18:12:51.604Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-30T18:12:51.604Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-30T18:12:51.604Z,Signal,"CVD check, prevVolume=61.06, currVolume=85.47",10000.00
2025-04-30T18:12:51.605Z,Signal,"Nessun CVD, prevVolume=61.06, currVolume=85.47",10000.00
2025-04-30T18:12:51.605Z,FVG,"Check: ATR=73.88, fvgSensitivity=0.20, Threshold=14.78",10000.00
2025-04-30T18:12:51.605Z,FVG,"Bullish scartato, size=7.10 < threshold=14.78 ",10000.00
