Timestamp,Event,Details,Capital
2025-04-16T20:27:43.987Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.987Z,Signal,"CVD check, prevVolume=-0.44, currVolume=-0.44",10000.00
2025-04-16T20:27:43.987Z,Signal,"Nessun CVD, prevVolume=-0.44, currVolume=-0.44",10000.00
2025-04-16T20:27:43.987Z,FVG,"Check: ATR=71.83, fvgSensitivity=0.20, Threshold=14.37",10000.00
2025-04-16T20:27:43.987Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.988Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.988Z,Signal,"CVD check, prevVolume=-0.44, currVolume=46.56",10000.00
2025-04-16T20:27:43.988Z,Signal,"Bullish CVD su TF 3m, lastVolume=46.56",10000.00
2025-04-16T20:27:43.988Z,FVG,"Check: ATR=75.16, fvgSensitivity=0.20, Threshold=15.03",10000.00
2025-04-16T20:27:43.988Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.990Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.990Z,Signal,"CVD check, prevVolume=46.56, currVolume=9.14",10000.00
2025-04-16T20:27:43.990Z,Signal,"Nessun CVD, prevVolume=46.56, currVolume=9.14",10000.00
2025-04-16T20:27:43.990Z,FVG,"Check: ATR=69.03, fvgSensitivity=0.20, Threshold=13.81",10000.00
2025-04-16T20:27:43.990Z,FVG,"Bullish confermato, top=84917.70, bottom=84900.00, size=17.70",10000.00
2025-04-16T20:27:43.990Z,FVG,"Bullish confermato, top=84917.70, bottom=84900.00, size=17.70",10000.00
2025-04-16T20:27:43.990Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-16T20:27:43.991Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.991Z,Signal,"CVD check, prevVolume=9.14, currVolume=9.14",10000.00
2025-04-16T20:27:43.991Z,Signal,"Nessun CVD, prevVolume=9.14, currVolume=9.14",10000.00
2025-04-16T20:27:43.991Z,FVG,"Check: ATR=70.10, fvgSensitivity=0.20, Threshold=14.02",10000.00
2025-04-16T20:27:43.991Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.992Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.992Z,Signal,"CVD check, prevVolume=9.14, currVolume=222.65",10000.00
2025-04-16T20:27:43.992Z,Signal,"Nessun CVD, prevVolume=9.14, currVolume=222.65",10000.00
2025-04-16T20:27:43.993Z,FVG,"Check: ATR=71.39, fvgSensitivity=0.20, Threshold=14.28",10000.00
2025-04-16T20:27:43.993Z,FVG,"Bearish confermato, top=84917.70, bottom=84888.80, size=28.90",10000.00
2025-04-16T20:27:43.994Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.994Z,Signal,"CVD check, prevVolume=222.65, currVolume=217.29",10000.00
2025-04-16T20:27:43.994Z,Signal,"Nessun CVD, prevVolume=222.65, currVolume=217.29",10000.00
2025-04-16T20:27:43.994Z,FVG,"Check: ATR=72.86, fvgSensitivity=0.20, Threshold=14.57",10000.00
